tri,vertex,x,y,z,fault_name
0,a,124496.1,3172901.7,4000.0,tib_dog
0,b,125070.3,3172690.8,3743.0,tib_dog
0,c,124256.8,3172817.9,4156.0,tib_dog
0,m,124607.73333333334,3172803.466666667,3966.3333333333335,tib_dog
1,a,124058.1,3173298.0,4000.0,tib_dog
1,b,124496.1,3172901.7,4000.0,tib_dog
1,c,124256.8,3172817.9,4156.0,tib_dog
1,m,124270.33333333333,3173005.8666666667,4052.0,tib_dog
2,a,125070.3,3172690.8,3743.0,tib_dog
2,b,127437.0,3174632.9,2000.0,tib_dog
2,c,125672.1,3172317.9,3571.0,tib_dog
2,m,126059.8,3173213.8666666667,3104.6666666666665,tib_dog
3,a,125726.7,3175508.9,2000.0,tib_dog
3,b,127437.0,3174632.9,2000.0,tib_dog
3,c,125070.3,3172690.8,3743.0,tib_dog
3,m,126078.0,3174277.533333333,2581.0,tib_dog
4,a,124496.1,3172901.7,4000.0,tib_dog
4,b,125726.7,3175508.9,2000.0,tib_dog
4,c,125070.3,3172690.8,3743.0,tib_dog
4,m,125097.7,3173700.4666666663,3247.6666666666665,tib_dog
5,a,124058.1,3173298.0,4000.0,tib_dog
5,b,125726.7,3175508.9,2000.0,tib_dog
5,c,124496.1,3172901.7,4000.0,tib_dog
5,m,124760.3,3173902.866666667,3333.3333333333335,tib_dog
6,a,123010.9,3174665.5,3678.0,tib_dog
6,b,125726.7,3175508.9,2000.0,tib_dog
6,c,124058.1,3173298.0,4000.0,tib_dog
6,m,124265.23333333332,3174490.8000000003,3226.0,tib_dog
7,a,119917.6,3175818.0,4540.0,tib_dog
7,b,120627.0,3176207.6,4000.0,tib_dog
7,c,120934.6,3175343.5,4324.0,tib_dog
7,m,120493.06666666667,3175789.6999999997,4288.0,tib_dog
8,a,120627.0,3176207.6,4000.0,tib_dog
8,b,121756.6,3175157.0,4021.0,tib_dog
8,c,120934.6,3175343.5,4324.0,tib_dog
8,m,121106.06666666667,3175569.3666666667,4115.0,tib_dog
9,a,125726.7,3175508.9,2000.0,tib_dog
9,b,127113.7,3176989.8,0.0,tib_dog
9,c,127437.0,3174632.9,2000.0,tib_dog
9,m,126759.13333333335,3175710.533333333,1333.3333333333333,tib_dog
10,a,127113.7,3176989.8,0.0,tib_dog
10,b,128532.0,3175988.6,0.0,tib_dog
10,c,127437.0,3174632.9,2000.0,tib_dog
10,m,127694.23333333334,3175870.4333333336,666.6666666666666,tib_dog
11,a,123682.7,3177010.6,2000.0,tib_dog
11,b,125726.7,3175508.9,2000.0,tib_dog
11,c,123010.9,3174665.5,3678.0,tib_dog
11,m,124140.09999999999,3175728.3333333335,2559.3333333333335,tib_dog
12,a,121756.6,3175157.0,4021.0,tib_dog
12,b,123682.7,3177010.6,2000.0,tib_dog
12,c,123010.9,3174665.5,3678.0,tib_dog
12,m,122816.73333333332,3175611.033333333,3233.0,tib_dog
13,a,118917.5,3176513.0,4528.0,tib_dog
13,b,120627.0,3176207.6,4000.0,tib_dog
13,c,119917.6,3175818.0,4540.0,tib_dog
13,m,119820.7,3176179.533333333,4356.0,tib_dog
14,a,127781.1,3177761.5,-1000.0,tib_dog
14,b,128532.0,3175988.6,0.0,tib_dog
14,c,127113.7,3176989.8,0.0,tib_dog
14,m,127808.93333333333,3176913.2999999993,-333.3333333333333,tib_dog
15,a,127781.1,3177761.5,-1000.0,tib_dog
15,b,129199.4,3176718.6,-1000.0,tib_dog
15,c,128532.0,3175988.6,0.0,tib_dog
