tri,vertex,x,y,z,fault_name
0,a,-55783.583006836,3342716.71580536,-14985.0,gurla
0,b,-54677.8965490291,3339938.7432105276,-19768.0,gurla
0,c,-56725.8969340146,3341331.705430983,-19747.0,gurla
0,m,-55729.12549662657,3341329.0548156234,-18166.666666666668,gurla
1,a,-55783.583006836,3342716.71580536,-14985.0,gurla
1,b,-53512.4138806928,3340811.228078821,-14829.0,gurla
1,c,-54677.8965490291,3339938.7432105276,-19768.0,gurla
1,m,-54657.964478852635,3341155.562364903,-16527.333333333332,gurla
2,a,-55783.583006836,3342716.71580536,-14985.0,gurla
2,b,-52459.9695386217,3342396.3144871145,-10051.0,gurla
2,c,-53512.4138806928,3340811.228078821,-14829.0,gurla
2,m,-53918.6554753835,3341974.752790432,-13288.333333333334,gurla
3,a,-54720.3123780783,3344155.4507817244,-10139.0,gurla
3,b,-52459.9695386217,3342396.3144871145,-10051.0,gurla
3,c,-55783.583006836,3342716.71580536,-14985.0,gurla
3,m,-54321.28830784533,3343089.4936913997,-11725.0,gurla
4,a,-59138.9717116258,3342887.008802622,-20798.0,gurla
4,b,-55783.583006836,3342716.71580536,-14985.0,gurla
4,c,-56725.8969340146,3341331.705430983,-19747.0,gurla
4,m,-57216.15055082546,3342311.8100129883,-18510.0,gurla
5,a,-57988.217777026,3344691.08968033,-15358.0,gurla
5,b,-55783.583006836,3342716.71580536,-14985.0,gurla
5,c,-59138.9717116258,3342887.008802622,-20798.0,gurla
5,m,-57636.92416516261,3343431.6047627707,-17047.0,gurla
6,a,-53707.1030620744,3345458.9936064817,-5409.0,gurla
6,b,-52459.9695386217,3342396.3144871145,-10051.0,gurla
6,c,-54720.3123780783,3344155.4507817244,-10139.0,gurla
6,m,-53629.12832625813,3344003.5862917737,-8533.0,gurla
7,a,-53707.1030620744,3345458.9936064817,-5409.0,gurla
7,b,-51279.2482593393,3343897.7628627606,-4573.0,gurla
7,c,-52459.9695386217,3342396.3144871145,-10051.0,gurla
7,m,-52482.10695334513,3343917.6903187856,-6677.666666666667,gurla
8,a,-60860.6805951458,3344550.9182807426,-20004.0,gurla
8,b,-57988.217777026,3344691.08968033,-15358.0,gurla
8,c,-59138.9717116258,3342887.008802622,-20798.0,gurla
8,m,-59329.29002793253,3344043.005587898,-18720.0,gurla
9,a,-57988.217777026,3344691.08968033,-15358.0,gurla
9,b,-54720.3123780783,3344155.4507817244,-10139.0,gurla
9,c,-55783.583006836,3342716.71580536,-14985.0,gurla
9,m,-56164.03772064677,3343854.4187558047,-13494.0,gurla
10,a,-57506.7029468123,3346770.5619276073,-10622.0,gurla
