X,Y,Z,id
-48162.77200817061,3350150.7917627767,3685,0
-50157.17665053206,3351825.986467187,3681,1
-51194.05902664109,3354386.865733435,3841,2
-53080.208693571396,3356174.0767481592,3948,3
-54299.89448975807,3358102.9386499096,4118,4
-55269.41504681739,3359960.9526846623,4102,5
-55873.041215407546,3362033.8682624595,4409,6
-56892.32229352056,3363894.70162133,4167,7
-56808.97910041676,3366516.191889601,4263,8
-56488.06455599773,3367841.8357556644,4045,9
-57378.421434701195,3371213.406073492,4628,10
-57910.62186292908,3373662.3160844846,4578,11
-59184.80902516945,3375449.271138312,4474,12
-60246.531216689844,3376933.714390677,4472,13
-59968.52557028296,3378888.845874719,4664,14
-60477.53475702564,3380782.5342435366,4619,15
-60271.283131714335,3382814.3237977745,4577,16
-59569.88487087703,3384645.4241766375,4651,17
-58682.05748009927,3386175.121430604,4592,18
-57118.8237269026,3387086.4763039723,4785,19
-55025.40950926044,3387503.951310345,5032,20
-53545.93530745139,3387778.176315801,5019,21
-52745.31600171037,3388612.4285436263,4980,22
-51432.014028369325,3389595.571127887,4974,23
-49262.46328338608,3390535.2291421,5183,24
-47365.890763096395,3391080.6824819073,5145,25
-44891.519628648515,3391072.1696709367,5197,26
-42218.67974279984,3390995.906317991,5097,27
-39503.060608514934,3391020.250721892,5027,28
-36514.16065447591,3390958.7628208892,4851,29
-66493.7242800314,3374862.487326863,-981,30
-64249.594592059606,3370857.268840258,-1030,31
-58669.98385970027,3354882.8831469407,-971,32
-60415.17971281045,3357422.9839362036,-1001,33
-61873.8576624575,3360590.68823974,-1009,34
-62695.26449635461,3364309.428023938,-908,35
-63078.711658334134,3368647.63774455,-816,36
-65700.45998216105,3372752.1065405607,-982,37
-56472.76036661386,3353012.31662848,-642,38
-66986.76643965801,3377196.31436382,-969,39
-54353.23096896976,3350549.8537681676,-168,40
-52728.51749657362,3347579.7437460558,92,41
-50101.23932167551,3345774.2260001283,-31,42
-67556.21136179077,3380815.4386058054,-805,43
